project_number,subproject_number,subproject,report_path,last_modified
1502000,0038,1502000.0038,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0038\IssuedDocuments\T+T_2021-IAG -C0616282_Final Report.docx,2021-11-07
1502000,0039,1502000.0039,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0039\IssuedDocuments\Final Report\T+T_IAG_Claim C3793303_Report.docx,2021-09-16
1502000,0040,1502000.0040,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0040\IssuedDocuments\T+T_2021-IAG-C3787107 Report_20211203.docx,2021-12-03
1502000,0042,1502000.0042,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0042\IssuedDocuments\Final Report\T+T_2021-IAG-C3786719_Reportv1.docx,2021-12-16
1502000,0043,1502000.0043,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0043\IssuedDocuments\Final report\T+T_IAG-C3785508_Final Report.docx,2021-10-05
1502000,0044,1502000.0044,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0044\IssuedDocuments\T+T_2021-IAG-C3789567_Report V3.docx,2021-10-14
1502000,0045,1502000.0045,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0045\IssuedDocuments\T+T_2021-Ando-PER-C0120572_Report.docx,2021-09-10
1502000,0046,1502000.0046,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0046\IssuedDocuments\T+T_2021-AMI-C3786947-Report.docx,2021-11-02
1502000,0047,1502000.0047,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0047\IssuedDocuments\T+T_2021-IAG-C3803390_Report.docx,2021-09-20
1502000,0048,1502000.0048,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0048\IssuedDocuments\6A Horoeka Ave - Final Report - C0614060 .docx,2021-11-14
1502000,0049,1502000.0049,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0049\IssuedDocuments\T+T_2021-IAG-C3788919-Final Report.docx,2021-08-24
1502000,0050,1502000.0050,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0050\IssuedDocuments\T+T_2021-AMI-C3794371_Report.docx,2021-08-31
1502000,0051,1502000.0051,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0051\IssuedDocuments\T+T _2021_IAG_C0610197_Report.docx,2021-09-01
1502000,0052,1502000.0052,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0052\IssuedDocuments\Final Report V2\T+T_2021-IAG-C0613488_Final Report V2.docx,2022-12-12
1502000,0053,1502000.0053,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0053\IssuedDocuments\Final report\T+T_Final Report_Unit 3_3A Clementine Way.docx,2021-11-15
1502000,0054,1502000.0054,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0054\IssuedDocuments\T+T_2021-IAG-C3789253-Final Report.docx,2021-08-24
1502000,0055,1502000.0055,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0055\IssuedDocuments\Final Report\T+T_2021-IAG-C3797660_Report.docx,2021-12-08
1502000,0056,1502000.0056,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0056\IssuedDocuments\Final version\T+T_2021-IAG-C3785302_Final Report.docx,2021-10-22
1502000,0058,1502000.0058,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0058\IssuedDocuments\Final report\T+T_Fina Report_66 Old Porirua Road.docx,2021-09-01
1502000,0060,1502000.0060,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0060\IssuedDocuments\Final Report\T+T_IAG-C3804810-Report.docx,2021-11-30
1502000,0062,1502000.0062,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0062\IssuedDocuments\T&T-2021-IAG-C0614887_Report.docx,2021-11-01
1502000,0063,1502000.0063,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0063\IssuedDocuments\Final Report\T+T_2021-IAG-C3791120_Report.docx,2021-09-28
1502000,0064,1502000.0064,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0064\IssuedDocuments\T+T_2021-IAG-PER-C0119327-Report.docx,2021-11-02
1502000,0065,1502000.0065,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0065\IssuedDocuments\T+T_2021-IAG-C0616130_Report.docx,2021-10-26
1502000,0066,1502000.0066,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0066\IssuedDocuments\Final Report Rev 2\T+T_2021-IAG-C0616572_Final Report_Rev 2.docx,2024-11-10
1502000,0067,1502000.0067,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0067\IssuedDocuments\Final Report\T+T_2021-IAG-C0613406_Final Report.docx,2021-11-14
1502000,0068,1502000.0068,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0068\IssuedDocuments\Final Report\T+T_2021-IAG-C0615067_Report V1.docx,2021-11-30
1502000,0069,1502000.0069,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0069\IssuedDocuments\Final Report\T+T_2021-IAG-7975894_Report.docx,2021-10-29
1502000,0070,1502000.0070,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0070\IssuedDocuments\T&T-2021-IAG-C3786750-Report.docx,2021-10-19
1502000,0071,1502000.0071,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0071\IssuedDocuments\Final Report\T+T_2021-IAG-80023108_Report.docx,2023-02-16
1502000,0072,1502000.0072,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0072\IssuedDocuments\T+T_2021-IAG-C0610014_Report.docx,2021-12-15
1502000,0073,1502000.0073,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0073\IssuedDocuments\Final Report V4\T+T_2021_EQC-2023-000170_Final Report V4.docx,2023-11-08
1502000,0075,1502000.0075,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0075\IssuedDocuments\Final Report\T+T _2021-IAG-C0613414-Report.docx,2021-11-19
1502000,0076,1502000.0076,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0076\IssuedDocuments\Draft report\T+T_2021-IAG-C3788998_Draft report_V2.docx,2021-09-28
1502000,0077,1502000.0077,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0077\IssuedDocuments\T+T_2021-IAG-C3783545_Report - V2.docx,2022-04-17
1502000,0078,1502000.0078,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0078\IssuedDocuments\T+T_2021_IAG-C0614874 EQC L_Report V2.docx,2022-02-07
1502000,0079,1502000.0079,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0079\IssuedDocuments\T+T-IAG-C3799818-Report.docx,2022-01-17
1502000,0080,1502000.0080,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0080\IssuedDocuments\T+T_IAG_2021-C3786941_Report.docx,2021-09-29
1502000,0081,1502000.0081,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0081\IssuedDocuments\Final\T+T_2021-IAG-C0612913_Report.docx,2022-01-17
1502000,0082,1502000.0082,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0082\IssuedDocuments\Final\v2\T+T-IAG-2022-C3785132_Report.docx,2022-03-21
1502000,0083,1502000.0083,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0083\IssuedDocuments\Final Report V2\T+T_2021-IAG-C3785698-Final Report V2.docx,2022-01-13
1502000,0084,1502000.0084,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0084\IssuedDocuments\T+T_2021-IAG-C0614218 EQC_Report.docx,2022-01-17
1502000,0085,1502000.0085,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0085\IssuedDocuments\1502000.0085_13 Birman Close_T+T Inspection & Assessment Report.docx,2021-12-13
1502000,0086,1502000.0086,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0086\IssuedDocuments\T+T_2021-IAG-3795901_ Report.docx,2021-10-24
1502000,0087,1502000.0087,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0087\IssuedDocuments\Final\T+T_2021-IAG-C3820016-Report.docx,2021-11-12
1502000,0088,1502000.0088,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0088\IssuedDocuments\T+T_2021-IAG -C3794255_Final Reportv2.docx,2022-02-21
1502000,0089,1502000.0089,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0089\IssuedDocuments\Final Report\T+T_2021-IAG-C0605962_Final Report.docx,2021-11-15
1502000,0091,1502000.0091,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0091\IssuedDocuments\Final Report\T+T_2021-IAG-C0622090_Report.docx,2021-11-03
1502000,0092,1502000.0092,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0092\IssuedDocuments\1502000.0092_909 East Coast Road_T+T Inspection & Assessment Report.docx,2022-02-23
1502000,0093,1502000.0093,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0093\IssuedDocuments\T+T_2021-IAG-C3822493_Report.docx,2021-10-04
1502000,0094,1502000.0094,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0094\IssuedDocuments\T+T_IAG - C0629961_Report.docx,2021-11-20
1502000,0095,1502000.0095,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0095\IssuedDocuments\Final Report\T+T_2021-AIG-C3822757_Report.docx,2022-05-01
1502000,0097,1502000.0097,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0097\IssuedDocuments\T+T_2021-IAG-C0616690_Report.docx,2021-10-29
1502000,0098,1502000.0098,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0098\IssuedDocuments\Final Report\T+T_2021-IAG-C3817959_Report.docx,2021-12-09
1502000,0099,1502000.0099,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0099\IssuedDocuments\Final Report\T+T_2021-IAG-C3813418_Report.docx,2021-11-07
1502000,0100,1502000.0100,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0100\IssuedDocuments\T+T_2021-IAG-C3805920_Report.docx,2021-10-13
1502000,0101,1502000.0101,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0101\IssuedDocuments\T+T_2021-IAG -C3813998_ Draft Report.docx,2021-10-27
1502000,0102,1502000.0102,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0102\IssuedDocuments\Final Report\T+T_2021-IAG-C0616637-Report.docx,2024-11-18
1502000,0103,1502000.0103,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0103\IssuedDocuments\T+T_2021_IAG-C0615377_Report.docx,2021-10-21
1502000,0104,1502000.0104,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0104\IssuedDocuments\T+T_2021-IAG-C0620002_Report.docx,2021-11-08
1502000,0105,1502000.0105,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0105\IssuedDocuments\Final\T+T_2021-IAG-80023079_Report_Rev 1.docx,2022-02-16
1502000,0106,1502000.0106,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0106\IssuedDocuments\Final Report\T+T_2022-IAG-C0624676_Final Report.docx,2022-02-14
1502000,0108,1502000.0108,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0108\IssuedDocuments\T+T_IAG-C0625129-Report.docx,2021-11-18
1502000,0109,1502000.0109,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0109\IssuedDocuments\T+T-2021-IAG-C0629976-Final Report.docx,2021-12-03
1502000,0110,1502000.0110,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0110\IssuedDocuments\Final Report\T+T-2021-IAG-C0624341-Report.docx,2021-12-23
1502000,0111,1502000.0111,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0111\IssuedDocuments\T+T_2021-IAG-C0622854_FINAL.Report.docx,2021-11-02
1502000,0112,1502000.0112,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0112\IssuedDocuments\Final Report\T+T_2021-AIG-366 Wairere_Final Report.docx,2021-12-15
1502000,0113,1502000.0113,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0113\IssuedDocuments\T+T_2021-IAG-C3822696_Final Report.docx,2021-11-29
1502000,0114,1502000.0114,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0114\IssuedDocuments\T+T_2021-IAG-C0629896_Report.docx,2022-01-11
1502000,0115,1502000.0115,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0115\IssuedDocuments\Final Report\T+T_2021-IAG-C3831544_Report.docx,2021-11-05
1502000,0117,1502000.0117,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0117\IssuedDocuments\Final report\T&T_2021-IAG-C3790368-Report.docx,2021-11-22
1502000,0118,1502000.0118,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0118\IssuedDocuments\T+T_IAG-C0628633_Report_230222.docx,2022-02-24
1502000,0119,1502000.0119,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0119\IssuedDocuments\T&T_2021-C0630996_Final Report.docx,2021-12-16
1502000,0120,1502000.0120,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0120\IssuedDocuments\Final\T+T_2021-IAG-7983728_Report.docx,2021-11-15
1502000,0121,1502000.0121,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0121\IssuedDocuments\T+T_2021-IAG-L7983352_Final Report.docx,2021-12-21
1502000,0122,1502000.0122,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0122\IssuedDocuments\New folder\T&T_2021-IAG-3798700_Final Report.docx,2021-12-01
1502000,0123,1502000.0123,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0123\IssuedDocuments\Final report\T+T_2021-IAG-C3839521_Report.docx,2021-11-29
1502000,0124,1502000.0124,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0124\IssuedDocuments\20211115_Final report\T+T_2021-IAG-C382012_Final Report.docx,2021-11-15
1502000,0125,1502000.0125,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0125\IssuedDocuments\1502000.0125_5 Maraetai Heights Road_T+T Inspection & Recommendations Report.docx,2021-12-02
1502000,0126,1502000.0126,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0126\IssuedDocuments\Extra Request July 2024\Final Report\T+T_2023_IAG-LandC387953-BuildingC3968163_Report.docx,2024-10-23
1502000,0127,1502000.0127,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0127\IssuedDocuments\Draft Final\T+T_2021-IAG-7983755-Final Report.docx,2021-12-12
1502000,0128,1502000.0128,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0128\IssuedDocuments\T+T_2021_IAG-C3820098_Final Report.docx,2021-12-07
1502000,0129,1502000.0129,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0129\IssuedDocuments\Final Report\T+T_2021-IAG-C3814318_Report.docx,2021-12-16
1502000,0130,1502000.0130,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0130\IssuedDocuments\T+T_2021-IAG-C0619271-Report.docx,2021-11-18
1502000,0132,1502000.0132,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0132\IssuedDocuments\T+T_2021-Sedgwick-C3828728_Final Report.docx,2021-12-19
1502000,0133,1502000.0133,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0133\IssuedDocuments\T+T-2021-IAG-C0631412-Final Report V3.docx,2022-03-09
1502000,0134,1502000.0134,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0134\IssuedDocuments\T+T_2021-IAG-C3832787_Report.docx,2021-12-07
1502000,0135,1502000.0135,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0135\IssuedDocuments\T+T_2021_IAG_C3823459_Final Report.docx,2021-12-16
1502000,0136,1502000.0136,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0136\IssuedDocuments\T+T-2021-IAG-C0628914-Report.docx,2022-01-27
1502000,0137,1502000.0137,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0137\IssuedDocuments\T&T-IAG-C0639166-Report.docx,2022-01-14
1502000,0139,1502000.0139,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0139\IssuedDocuments\Final Report\T+T_2021-IAG-C3853229_Final Report.docx,2021-12-13
1502000,0140,1502000.0140,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0140\IssuedDocuments\T+T_2021_IAG - C0636751_Report.docx,2022-01-25
1502000,0142,1502000.0142,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0142\IssuedDocuments\T+T_2021-IAG-C0642359_Report.docx,2022-01-20
1502000,0143,1502000.0143,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0143\IssuedDocuments\T+T 2021 - IAG C0634328 - Report.docx,2022-01-11
1502000,0144,1502000.0144,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0144\IssuedDocuments\Final Report\T+T_2021-IAG-C3814260_Report.docx,2021-12-16
1502000,0145,1502000.0145,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0145\IssuedDocuments\Final Report\T+T_2021-IAG-C3824595_Report.docx,2021-12-22
1502000,0146,1502000.0146,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0146\IssuedDocuments\T+T_2021-C0638426-Report - Copy.docx,2022-01-11
1502000,0147,1502000.0147,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0147\IssuedDocuments\T+T-IAG-2021-C3841066-Final_Report.docx,2022-02-03
1502000,0148,1502000.0148,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0148\IssuedDocuments\T+T-2021-IAG-C0629097_Report.docx,2021-12-15
1502000,0149,1502000.0149,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0149\IssuedDocuments\T+T-2021-IAG-EQC-7983268- Final Report V3.docx,2023-12-13
1502000,0150,1502000.0150,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0150\IssuedDocuments\Final Report\T+T_2021_IAG-C3872320_Report_V2.docx,2022-04-12
1502000,0151,1502000.0151,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0151\IssuedDocuments\T+T_2021- IAG-C3866120_Report.docx,2022-02-09
1502000,0152,1502000.0152,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0152\IssuedDocuments\Final Report\T+T_2021-C3866646_Report_V2.docx,2022-03-11
1502000,0153,1502000.0153,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0153\IssuedDocuments\Final Report\T+T_2021_IAG-C0651264_Report.docx,2021-12-17
1502000,0154,1502000.0154,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0154\IssuedDocuments\T+T_2021-IAG-C3867425_Report_v2.docx,2022-01-26
1502000,0155,1502000.0155,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0155\IssuedDocuments\Final report\T+T_2021_IAG-C3868794_Report_v2.docx,2022-02-23
1502000,0156,1502000.0156,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0156\IssuedDocuments\T+T_2021-IAG-C0650725_Report.docx,2022-03-02
1502000,0157,1502000.0157,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0157\IssuedDocuments\T+T_2021-IAG-C3863260_Report.docx,2022-01-13
1502000,0158,1502000.0158,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0158\IssuedDocuments\T+T-2022-IAG-C3856556-Report.docx,2022-02-14
1502000,0159,1502000.0159,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0159\IssuedDocuments\T+T-IAG-C3858402_Report.docx,2022-01-11
1502000,0160,1502000.0160,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0160\IssuedDocuments\T+T-IAG-2022-C3820386-Report.docx,2022-01-27
1502000,0161,1502000.0161,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0161\IssuedDocuments\FInal V2\T+T_2022-AMI-C3819621-FInal ReportV2.docx,2022-05-16
1502000,0162,1502000.0162,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0162\IssuedDocuments\Final report\T+T_2021_IAG-3848214_Report.docx,2021-12-14
1502000,0163,1502000.0163,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0163\IssuedDocuments\Final\T+T_2022_IAG_C0655908-Final Report.docx,2022-02-01
1502000,0164,1502000.0164,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0164\IssuedDocuments\Final Report\T+T-2021-IAG-C0650103-Final Report.docx,2022-02-01
1502000,0165,1502000.0165,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0165\IssuedDocuments\Final Report\T+T_2021_IAG-C3875347_Final Report.doc.docx,2022-06-16
1502000,0166,1502000.0166,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0166\IssuedDocuments\final report\revised with wall measurements\T+T_2021_IAG-C0654346_Report.docx,2022-01-28
1502000,0167,1502000.0167,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0167\IssuedDocuments\Final report\T+T_2021_IAG-C3874855_Report.docx,2022-02-08
1502000,0168,1502000.0168,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0168\IssuedDocuments\Final report V2\T+T-2021_IAG-C0656744_Report_V2.docx,2022-02-08
1502000,0169,1502000.0169,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0169\IssuedDocuments\Final Report Rev3\T+T_2021-AMI-C3876946_Final Report_Rev3.docx,2022-05-19
1502000,0171,1502000.0171,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0171\IssuedDocuments\Final report\T+T_2021-IAG-C0712580_Report_V2.docx,2022-03-30
1502000,0172,1502000.0172,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0172\IssuedDocuments\T+T_2021_7983372_Final Report.docx,2022-03-07
